"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
551,"NCT02478502","Testis CAB: Cabazitaxel as Salvage Treatment for Cisplatin-resistant Germ Cell Cancer","Recruiting","No Results Available","Testicular Cancer","Drug: cabazitaxel","Jan Oldenburg|Sanofi|University Hospital, Akershus","Male","18 Years and older   (Adult, Senior)","Phase 2","29","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2012/1627 b|2012-004418-32","August 28, 2014","June 2015","June 2018","January 16, 2017","January 2017","No Study Results Posted","null","December 2017","Objective response rate","https://ClinicalTrials.gov/show/NCT02478502"
552,"NCT01474642","Phase II Trial of XP Versus XG in Advanced Esophageal Squamous Cell Carcinoma","Completed","No Results Available","Advanced or Recurrent Esophageal Squamous Cell Carcinoma","Drug: Capecitabine/Cisplatin(XP)|Drug: Capecitabine/Paditaxel(XG)","Samsung Medical Center","All","18 Years and older   (Adult, Senior)","Phase 2","64","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","2011-09-10","November 10, 2011","September 2008","May 2014","December 28, 2015","December 2015","No Study Results Posted","null","September 2013","response rate|progression free survival|quality of life|Number of Adverse Event|overall survival|predictive marker","https://ClinicalTrials.gov/show/NCT01474642"
553,"NCT02573493","Nab-Paclitaxel and Cisplatin or Nab-paclitaxel as Induction Therapy for Locally Advanced Squamous Cell Carcinoma of the Head and Neck (HNSCC)","Recruiting","No Results Available","Squamous Cell Carcinoma of the Head and Neck|Carcinoma, Squamous Cell of the Head and Neck|Cancer of Head and Neck|Cancer of the Head and Neck|Head and Neck Cancer|Neoplasms, Head and Neck","Drug: nab-Paclitaxel|Drug: Cisplatin|Biological: Cetuximab|Radiation: Intensity-Modulated Radiation Therapy","Washington University School of Medicine|Celgene Corporation","All","18 Years and older   (Adult, Senior)","Phase 2","80","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","201510013","October 7, 2015","April 13, 2016","October 31, 2028","May 3, 2017","May 2017","No Study Results Posted","APA","May 31, 2018","Complete response rate as measured by clinical exam at the primary tumor site|Partial response rate as measured by clinical exam at the primary tumor site|Complete response rate as measured by clinical exam at the involved regional nodes|Partial response rate as measured by clinical exam at the involved regional nodes|Anatomic tumor response as assessed by CT using RECIST 1.0 criteria|Metabolic tumor response by Fluorine-18-Fluorodeoxyglucose Positron Emission Tomography (FDG-PET/CT) fusion scan|Document and quantify Ki-67 expression by IHC in primary tumor tissue and correlate with clinical primary tumor site response|Grade 3-4 adverse events as measured by NCI Common Terminology Criteria for Adverse Events (CTCAE) Version 3.0|Overall survival (OS)|Disease-free survival (DFS)|Progression-free survival (PFS)|Quality of life as measured by FACT-H&N and FACT/GOG-NTX-4|Overall survival (OS) rate|Disease-free survival (DFS) rate|Progression-free survival (PFS) rate","https://ClinicalTrials.gov/show/NCT02573493"
554,"NCT01281800","Cisplatin With Alimta or Gemcitabine in Long Infusion for Mesothelioma","Unknown status","No Results Available","Mesothelioma","Procedure: Gemcitabine in long infusion","Institute of Oncology Ljubljana|Slovenian Research Agency","All","18 Years and older   (Adult, Senior)","Phase 2","72","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","22k/06/08","January 17, 2011","August 2008","null","January 21, 2011","January 2011","No Study Results Posted","AGILI","August 2014","Progression free survival|Overall survival","https://ClinicalTrials.gov/show/NCT01281800"
555,"NCT00942331","Gemcitabine Hydrochloride and Cisplatin With or Without Bevacizumab in Treating Patients With Advanced Urinary Tract Cancer","Active, not recruiting","No Results Available","Bladder Urothelial Carcinoma|Distal Urethral Carcinoma|Infiltrating Bladder Urothelial Carcinoma Associated With Urethral Carcinoma|Metastatic Urothelial Carcinoma of the Renal Pelvis and Ureter|Proximal Urethral Carcinoma|Recurrent Bladder Carcinoma|Recurrent Prostate Carcinoma|Recurrent Urethra Carcinoma|Recurrent Urothelial Carcinoma of the Renal Pelvis and Ureter|Regional Urothelial Carcinoma of the Renal Pelvis and Ureter|Stage IV Bladder Cancer|Stage IV Prostate Cancer|Stage IV Urethral Cancer|Ureter Carcinoma","Biological: Bevacizumab|Drug: Cisplatin|Drug: Gemcitabine Hydrochloride|Other: Laboratory Biomarker Analysis|Other: Placebo","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 3","500","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Participant, Investigator|Primary Purpose: Treatment","NCI-2011-01952|CDR0000649174|CALGB-90601|U10CA180821|U10CA031946","July 17, 2009","July 15, 2009","null","May 24, 2017","May 2017","No Study Results Posted","null","June 30, 2019","Overall survival (OS)|Grade 3 or greater treatment-related toxicity using National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0|Objective response rate (defined as confirmed complete and partial responses) using Response Evaluation Criteria in Solid Tumors criteria|Progression-free survival (PFS)","https://ClinicalTrials.gov/show/NCT00942331"
556,"NCT00573690","Sorafenib Combined With Cisplatin and Etoposide or Carboplatin and Pemetrexed in Treating Patients With Metastatic Solid Tumors","Completed","No Results Available","Unspecified Adult Solid Tumor, Protocol Specific","Drug: carboplatin|Drug: cisplatin|Drug: etoposide|Drug: pemetrexed disodium|Drug: sorafenib tosylate","UNC Lineberger Comprehensive Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 1","31","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","LCCC 0613|CDR0000579819|UNC-LCC-07-0971","December 13, 2007","September 2007","February 2011","April 20, 2012","April 2012","No Study Results Posted","null","June 2009","Recommended phase II dose and maximum tolerated dose of sorafenib tosylate when administered in combination with cisplatin and etoposide or carboplatin and pemetrexed disodium|Toxicity|Efficacy of treatment as measured by RECIST criteria or by tumor markers|Pharmacokinetics of sorafenib tosylate in combination with etoposide (samples are no longer being collected and studies are no longer being performed as of 1/8/09)","https://ClinicalTrials.gov/show/NCT00573690"
557,"NCT00397904","Cetuximab, Cisplatin, and Irinotecan in Treating Patients With Metastatic Esophageal Cancer, Gastroesophageal Junction Cancer, or Gastric Cancer That Did Not Respond to Previous Irinotecan and Cisplatin","Completed","Has Results","Esophageal Cancer|Gastric Cancer","Biological: cetuximab|Drug: cisplatin|Drug: irinotecan hydrochloride|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis|Procedure: biopsy","Memorial Sloan Kettering Cancer Center|National Cancer Institute (NCI)","All","18 Years to 120 Years   (Adult, Senior)","Phase 2","16","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","06-095|P30CA008748|MSKCC-06095","November 9, 2006","October 2006","September 2010","October 22, 2015","October 2015","October 22, 2015","null","September 2010","Complete and Partial Response Rate","https://ClinicalTrials.gov/show/NCT00397904"
558,"NCT00154739","Gemcitabine/Cisplatin Versus Gemcitabine/Epirubicin for Non-Small Cell Lung Cancer (NSCLC)","Completed","No Results Available","Non-Small Cell Lung Cancer","Drug: Gemcitabine|Drug: Cisplatin|Drug: Epirubicin","National Taiwan University Hospital","All","18 Years and older   (Adult, Senior)","Phase 2","86","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","46S1","September 8, 2005","October 1998","July 2005","August 1, 2008","July 2005","No Study Results Posted","null","July 2005","The primary objective of this study is to explore efficacy of gemcitabine and epirubicin in the treatment of NSCLC patients who need palliative chemotherapy.|The secondary objective of this study is to compare efficacy (response rate，overall survival) of gemcitabine/epirubicin to gemcitabine/cisplatin in the treatment of inoperable NSCLC.","https://ClinicalTrials.gov/show/NCT00154739"
559,"NCT00248482","Imatinib Mesylate After Irinotecan and Cisplatin in Treating Patients With Extensive-Stage Small Cell Lung Cancer","Completed","No Results Available","Lung Cancer","Drug: Cisplatin|Drug: Gleevec™|Drug: irinotecan","Barbara Ann Karmanos Cancer Institute|National Cancer Institute (NCI)|Novartis Pharmaceuticals","All","18 Years and older   (Adult, Senior)","Phase 2","6","Other|NIH|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000445222|P30CA022453|WSU-C-2461|WSU-UMCC-2001-066|CST1571B US93","November 3, 2005","February 2002","January 2008","April 25, 2013","April 2013","No Study Results Posted","null","April 2005","Progression-free survival|Overall survival|Tolerability of Gleevec maintenance therapy|Response rate as measured by RECIST at","https://ClinicalTrials.gov/show/NCT00248482"
560,"NCT01771289","Neoadjuvant Concurrent Chemoradiation With Weekly Docetaxel/Cisplatin for Resectable IIIA-N2 NSCLC","Recruiting","No Results Available","Non-small Cell Lung Cancer","Drug: docetaxel/cisplatin|Radiation: Radiation","Peking University People's Hospital","All","18 Years and older   (Adult, Senior)","Phase 2","50","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","PKUPH-XW1301","January 16, 2013","January 2013","null","September 25, 2016","September 2016","No Study Results Posted","null","January 2017","downstage rate of mediastinal lymph nodes|overall survival|Disease-free survival|resection rate","https://ClinicalTrials.gov/show/NCT01771289"
561,"NCT01491139","Phase I Study of Olaparib With Cisplatin Based Chemoradiotherapy in Squamous Cell Carcinoma of the Head and Neck","Withdrawn","No Results Available","Carcinoma, Squamous Cell","Drug: olaparib|Drug: cisplatin|Radiation: Intensity Modulated Radiotherapy","University College, London|AstraZeneca","All","18 Years and older   (Adult, Senior)","Phase 1","0","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2010-023599-24|62346992","December 9, 2011","null","null","May 29, 2012","May 2012","No Study Results Posted","ORCA","null","Frequency of dose limiting toxicities|Complete response rate|Time to loco-regional progression","https://ClinicalTrials.gov/show/NCT01491139"
562,"NCT01386632","Study of DCA (Dichloroacetate) in Combination With Cisplatin and Definitive Radiation in Head and Neck Carcinoma","Active, not recruiting","No Results Available","Squamous Cell Carcinoma of the Head and Neck","Drug: DCA (dichloroacetate)|Drug: Placebo","Sanford Health","All","18 Years and older   (Adult, Senior)","Phase 2","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","DCA 2010","May 23, 2011","May 2011","January 2019","April 28, 2014","April 2014","No Study Results Posted","null","April 2014","To evaluate the safety of delivering DCA during primary chemo-radiation.|Two-year and five-year progression-free survival rate in locally advanced head and neck squamous cell carcinoma in patients receiving concurrent cisplatin, radiation therapy, and DCA.|Relative toxicities for locally advanced head and neck squamous cell carcinoma patients receiving concurrent cisplatin, radiation therapy, and DCA.|Immune response and correlate these findings with toxicity and outcome (exploratory analysis).|Health-related quality of life among study patients by treatment arm .|Local response rate for locally advanced head and neck squamous cell carcinoma patients receiving concurrent cisplatin, radiation therapy, and DCA.|Health-related quality of life among study patients by treatment arm.|Overall survival for locally advanced head and neck squamous cell carcinoma patients receiving concurrent cisplatin, radiation therapy, and DCA.|HPV status- correlate these findings with toxicity and outcome (exploratory analysis).","https://ClinicalTrials.gov/show/NCT01386632"
563,"NCT00925743","A Study to Evaluate the Effects of Combining Cabazitaxel With Cisplatin Given Every 3 Weeks in Patients With Advanced Solid Cancer","Completed","No Results Available","Solid Cancer","Drug: cabazitaxel (XRP6258)","Sanofi","All","18 Years and older   (Adult, Senior)","Phase 1","76","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","TCD10870","June 19, 2009","June 2009","March 2013","May 15, 2013","May 2013","No Study Results Posted","null","March 2013","Dose Limiting Toxicities (DLT)'s of the combination of cabazitaxel and cisplatin (part 1)|Objective response ratio (Complete response (CR) and partial response (PR)) (part 2)|Pharmacokinetics (PK) of cabazitaxel (part 3 and 4)|Time to progression (TTP) (part 1 and 2)|Duration of response (DR) (Part 1 and 2)|Cabazitaxel pharmacokinetic (part 1 and 2)","https://ClinicalTrials.gov/show/NCT00925743"
564,"NCT00287911","Topotecan, Cisplatin, and Radiation Therapy in Treating Patients With Advanced Cervical Cancer","Completed","No Results Available","Cervical Cancer","Drug: cisplatin|Drug: topotecan hydrochloride|Radiation: brachytherapy|Radiation: radiation therapy","Masonic Cancer Center, University of Minnesota|GlaxoSmithKline","Female","18 Years and older   (Adult, Senior)","Phase 1","18","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000452043|UMN-2001LS041|UMN-WCC-34|104864/638","February 6, 2006","February 2005","December 2009","November 6, 2012","November 2012","No Study Results Posted","null","December 2009","Maximum tolerated dose of topotecan","https://ClinicalTrials.gov/show/NCT00287911"
565,"NCT00907504","Study Of The Effect Of CP-751,871 In Combination With Gemcitabine And Cisplatin In Patients With Advanced Non-Small Cell Lung Cancer","Withdrawn","No Results Available","Carcinoma, Non-Small-Cell Lung","Drug: CP-751,871|Drug: Cisplatin|Drug: Gemcitabine|Drug: Cisplatin|Drug: Gemcitabine","Pfizer","All","18 Years and older   (Adult, Senior)","Phase 3","0","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","A4021017","May 20, 2009","July 2010","May 2014","June 16, 2014","June 2014","No Study Results Posted","ADVIGO1017","May 2014","Overall Survival|Progression Free survival|Objective Response|Overall Safety Profile|Patient Reported Outcome|Pharmacokinetics|Anti-drug Antibody|Biomarker Analysis","https://ClinicalTrials.gov/show/NCT00907504"
566,"NCT01283217","Docetaxel and S1 (DS) Versus S1 and Cisplatin (SP) in Curatively Resected Stage IIIB/IV Gastric Cancer","Unknown status","No Results Available","Gastric Adenocarcinoma","Drug: DS|Drug: SP","Yonsei University","All","20 Years and older   (Adult, Senior)","Phase 3","166","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Open Label|Primary Purpose: Treatment","4-2009-0708","January 24, 2011","March 2010","March 2016","June 1, 2013","June 2013","No Study Results Posted","null","March 2016","3-year disease free survival(DFS)","https://ClinicalTrials.gov/show/NCT01283217"
567,"NCT00226239","Docetaxel, Cetuximab and Cisplatin Followed by Radiation, Cetuximab and Cisplatin in Head and Neck Cancer","Completed","No Results Available","Cancer","Drug: Docetaxel|Drug: Cisplatin|Drug: Cetuximab|Procedure: Radiation Therapy","University of Pittsburgh|Bristol-Myers Squibb","All","18 Years and older   (Adult, Senior)","Phase 2","39","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","05-003","September 22, 2005","October 2005","July 2013","July 23, 2013","July 2013","No Study Results Posted","null","July 2013","To evaluate the objective response rate with induction with cisplatin/docetaxel/cetuximab in subjects.|To evaluate the toxicities, objective response rate post chemoradiotherapy, time to progression, overall survival, local and distant failure rates.","https://ClinicalTrials.gov/show/NCT00226239"
568,"NCT00003377","Radiation Therapy, Paclitaxel, and Cisplatin in Treating Patients With Cancer of the Cervix","Completed","Has Results","Cervical Cancer","Drug: cisplatin|Drug: paclitaxel|Radiation: brachytherapy|Radiation: radiation therapy","Gynecologic Oncology Group|National Cancer Institute (NCI)","Female","18 Years and older   (Adult, Senior)","Phase 1","29","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000066371|GOG-9804","November 1, 1999","November 1999","July 2009","December 27, 2012","December 2012","November 23, 2012","null","July 2009","Dose Limiting Toxicity(DLT)/Significant Dose Delay of Paclitaxel With Cisplatin as Assessed by CTC 2.0 After 6 Cycles of Treatment|Disease-free Survival at 2 Years|Overall Survival at 2 Years","https://ClinicalTrials.gov/show/NCT00003377"
569,"NCT00257816","Weekly IV Topotecan and Cisplatin With Radiation in Cervical Carcinoma","Unknown status","No Results Available","Cervical Cancer","Drug: Topotecan|Drug: Cisplatin","University of California, Irvine","Female","18 Years and older   (Adult, Senior)","Phase 2","12","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","UCI 03-33","November 21, 2005","April 2004","January 2009","March 26, 2008","March 2008","No Study Results Posted","null","January 2009","To assess the feasibility and toxicity|To assess the efficacy","https://ClinicalTrials.gov/show/NCT00257816"
570,"NCT00004083","Liposomal Cisplatin in Treating Patients With Recurrent Ovarian Cancer","Completed","No Results Available","Ovarian Cancer","Drug: cisplatin liposomal","New York University School of Medicine|National Cancer Institute (NCI)","Female","18 Years and older   (Adult, Senior)","Phase 2","null","Other|NIH","Interventional","Primary Purpose: Treatment","CDR0000067294|P30CA016087|NYU-9871|SEQUUS-77-21|NCI-G99-1579","December 10, 1999","February 1999","null","March 25, 2011","March 2011","No Study Results Posted","null","December 1999","","https://ClinicalTrials.gov/show/NCT00004083"
571,"NCT03050437","A Study Comparing Pemetrexed Plus Cisplatin Versus Pemetrexed Alone in NSCLC Patients Who Have Progressed on First Line EGFR-TKI","Recruiting","No Results Available","Carcinoma, Non-Small-Cell Lung","Drug: Cisplatin|Drug: Pemetrexed","Samsung Medical Center","All","20 Years and older   (Adult, Senior)","Phase 2","96","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","2012-12-035","September 22, 2015","March 2013","March 2017","February 9, 2017","February 2017","No Study Results Posted","null","February 2017","progression-free survival","https://ClinicalTrials.gov/show/NCT03050437"
572,"NCT00296322","Trial of Adjuvant Chemotherapy for Gastric Cancer","Completed","Has Results","Stomach Cancer","Drug: cisplatin, mitomycin-C, doxifluridine","Asan Medical Center|Ulsan University Hospital|Hallym University Medical Center","All","18 Years to 69 Years   (Adult, Senior)","Phase 3","528","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","AMC-ONCGI-0102","February 24, 2006","October 2001","March 2010","August 7, 2013","August 2013","July 19, 2012","null","December 2007","Relapse-free Survival|Toxicity Profile (According to NCI CTC Version 2.0)|Overall Survival","https://ClinicalTrials.gov/show/NCT00296322"
573,"NCT02314117","A Study of Ramucirumab (LY3009806) in Combination With Capecitabine and Cisplatin in Participants With Stomach Cancer","Active, not recruiting","No Results Available","Metastatic Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma","Drug: Ramucirumab|Drug: Capecitabine|Drug: Cisplatin|Drug: Placebo|Drug: Fluorouracil","Eli Lilly and Company","All","18 Years and older   (Adult, Senior)","Phase 3","616","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Participant, Investigator|Primary Purpose: Treatment","15372|I4T-MC-JVCU|2014-002240-40","December 8, 2014","January 2015","August 2018","March 8, 2017","March 2017","No Study Results Posted","RAINFALL","January 2017","Progression Free Survival (PFS)|Overall Survival (OS)|Progression Free Survival 2 (PFS2)|Objective Response Rate (ORR)|Disease Control Rate (DCR)|Time to Progression (TTP)|Duration of Response (DoR)|Change from Randomization to 30 Days After Treatment Discontinuation in Quality of Life on the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire-Core 30 (EORTC QLQ-C30)|Change from Randomization to 30 Days After Treatment Discontinuation in Health Status on the European Quality of Life 5-Dimensions 5 Level Instrument (EQ-5D- 5L)|Time to Deterioration in Eastern Cooperative Oncology Group (ECOG) Performance Status (PS)|Pharmacokinetics (PK): Minimum Ramucirumab Concentration (Cmin) and Concentration at 1-Hour Post End of Ramucirumab Infusion (Approximately Maximum Concentration [Cmax])|Number of Participants with Anti-Ramucirumab Antibodies","https://ClinicalTrials.gov/show/NCT02314117"
574,"NCT00295503","Cisplatin, Pemetrexed and Bevacizumab for Untreated Malignant Mesothelioma","Completed","Has Results","Mesothelioma","Drug: bevacizumab|Drug: cisplatin|Drug: pemetrexed","University of Texas Southwestern Medical Center|University of Chicago|Columbia University|Duke University","All","18 Years and older   (Adult, Senior)","Phase 2","53","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","AVF3442S","February 22, 2006","February 2006","August 2010","November 4, 2016","November 2016","October 18, 2013","null","June 2010","Progression Free Survival Rate at 6 Months|Response Rate|Overall Survival","https://ClinicalTrials.gov/show/NCT00295503"
575,"NCT02325401","Dose-finding Study of Metformin With Chemoradiation in Locally Advanced Head and Neck Squamous Cell Carcinoma","Recruiting","No Results Available","Head and Neck Cancer","Drug: Metformin|Drug: Cisplatin|Radiation: Radiation Therapy","University of Cincinnati","All","18 Years and older   (Adult, Senior)","Phase 1","30","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","UCCI-HN-14-01","December 16, 2014","March 2015","March 2021","January 13, 2017","January 2017","No Study Results Posted","null","March 2018","Maximum tolerated dose (MTD) of metformin in combination with concurrent cisplatin and radiation|Anti-tumor effect of metformin to chemoradiation|Number of participants with adverse events|Progression free survival|Overall survival","https://ClinicalTrials.gov/show/NCT02325401"
576,"NCT03117335","Recombinant Endostatin Combined With Vinorelbine and Cisplatin in Patients With Advanced Non-small Cell Lung Cancer","Completed","No Results Available","Advanced Non-small Cell Lung Cancer","Drug: Placebos|Drug: Sulijia","Jiangsu Wuzhong Pharmaceutical Group Co., Ltd.|Tigermed Consulting Co., Ltd","All","18 Years to 70 Years   (Adult, Senior)","Phase 3","560","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Participant, Care Provider, Investigator, Outcomes Assessor|Primary Purpose: Treatment","TG1107RHE|BA2010071","April 10, 2017","November 10, 2011","January 17, 2017","April 12, 2017","April 2017","No Study Results Posted","null","November 14, 2016","Progression Free Survival(PFS)|Objective response rate(ORR)|Disease control rate(DCR)|Overall survival(OS)","https://ClinicalTrials.gov/show/NCT03117335"
577,"NCT00846443","Study of Concurrent Pemetrexed, Cisplatin and Radiotherapy in Local Advanced Non-Small Cell Lung Cancer","Unknown status","No Results Available","Local Advanced Non-Small Cell Lung Cancer","Other: Concurrent Pemetrexed, Cisplatin and Radiotherapy|Other: Concurrent Pemetrexed, Cisplatin and Radiotherapy|Other: Concurrent Pemetrexed, Cisplatin and Radiotherapy|Other: Concurrent Pemetrexed, Cisplatin and Radiotherapy","Fudan University","All","18 Years and older   (Adult, Senior)","Phase 1","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NSCLC2009","February 17, 2009","January 2009","null","February 17, 2009","February 2009","No Study Results Posted","null","January 2010","Dose-limiting toxicities per protocol","https://ClinicalTrials.gov/show/NCT00846443"
578,"NCT00003299","Cisplatin Plus Etoposide With or Without Paclitaxel in Treating Patients With Extensive-Stage Small Cell Lung Cancer","Completed","No Results Available","Lung Cancer","Drug: cisplatin|Drug: etoposide|Drug: paclitaxel","Alliance for Clinical Trials in Oncology|National Cancer Institute (NCI)|North Central Cancer Treatment Group|Eastern Cooperative Oncology Group|Southwest Oncology Group","All","18 Years and older   (Adult, Senior)","Phase 3","587","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","CALGB-9732|U10CA031946|CLB-9732|E-C9732|NCCTG-C9732|SWOG-C9732|CDR0000066238","November 1, 1999","April 1998","January 2006","July 19, 2016","July 2016","No Study Results Posted","null","June 2005","overall survival|response rate|failure-free survival","https://ClinicalTrials.gov/show/NCT00003299"
579,"NCT00136955","Irinotecan Study For Cervical Cancer","Completed","Has Results","Uterine Cervical Neoplasms","Drug: Irinotecan","Pfizer","Female","18 Years to 75 Years   (Adult, Senior)","Phase 2","41","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","XRP4174/2502|A5961083","August 25, 2005","June 2004","May 2008","May 22, 2015","May 2015","May 7, 2009","null","May 2008","Response to Treatment Based on Response Evaluation Criteria in Solid Tumors (RECIST) Criteria (Evaluable Population)|Response to Treatment Based on RECIST Criteria (Intent-to-Treat [ITT] Population)|Overall Survival (OS) and Time to Tumor Progression (TTP) (Evaluable Population)|Overall Survival (OS) and Time to Tumor Progression (ITT Population)","https://ClinicalTrials.gov/show/NCT00136955"
580,"NCT01204307","Influence of Prior Chemotherapy on Clinical Benefit With Erlotinib in Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer With or Without EGFR Gene Mutation","Completed","No Results Available","Advanced Non-Squamous Non-Small Cell Lung Cancer","Drug: Docetaxel/cisplatin|Drug: Pemetrexed/cisplatin","Chang Gung Memorial Hospital|Taiwan Chest Disease Association","All","18 Years to 75 Years   (Adult, Senior)","Phase 2","101","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","99-1896C","September 16, 2010","January 2010","June 2015","July 27, 2015","September 2010","No Study Results Posted","null","December 2014","Response rate to erlotinib with Docetaxel/cisplatin or Pemetrexed/cisplatin|Progression-free survival and overall survival after erlotinib treatment with 1st line Docetaxel/cisplatin or Pemetrexed/cisplatin.","https://ClinicalTrials.gov/show/NCT01204307"
581,"NCT02620839","Phase Ib Study of Alpelisib With Cisplatin in Patients With HPV+ Solid Tumor Malignancies","Recruiting","No Results Available","Solid Tumors","Drug: Alpelisib|Drug: Cisplatin","Pamela Munster|University of California, San Francisco","All","18 Years and older   (Adult, Senior)","Phase 1","41","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: No masking|Primary Purpose: Treatment","159516","December 1, 2015","December 1, 2016","March 2018","May 2, 2017","May 2017","No Study Results Posted","null","December 2017","Maximum Tolerated Dose|Objective Response Rate|Median Progression-Free Survival|Toxicity|Alpelisib plasma concentration","https://ClinicalTrials.gov/show/NCT02620839"
582,"NCT01360827","EMD 1201081 + 5-FU + Cisplatin + Cetuximab in Subjects With Recurrent / Metastatic Squamous Cell Carcinoma of the Head and Neck","Terminated","No Results Available","Squamous Cell Carcinoma of the Head and Neck","Drug: EMD 1201081 + 5-FU + Cisplatin + Cetuximab|Drug: EMD 1201081 + 5-FU + Cisplatin + Cetuximab","Merck KGaA","All","18 Years and older   (Adult, Senior)","Phase 1","13","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","EMR 200068-007","May 24, 2011","August 2010","null","June 16, 2014","June 2014","No Study Results Posted","null","April 2011","Maximum-tolerated-dose (MTD) at 0.16 mg/kg cohort size testing|Maximum-tolerated-dose (MTD) at 0.32 mg/kg cohort size testing|Maximum-tolerated-dose (MTD) at 0.48 mg/kg cohort size testing|Number of subjects with adverse events (AEs) and serious adverse events (SAEs)|Number of subjects with best overall response|Pharmacokinetic parameters: Cmax, Tmax and AUC (0-t)","https://ClinicalTrials.gov/show/NCT01360827"
