"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
180,"NCT01610869","Low Dose Cyclophosphamide +/-- Nintedanib in Advanced Ovarian Cancer","Active, not recruiting","No Results Available","Ovarian Cancer|Fallopian Tube Cancer","Drug: BIBF 1120","University College, London|Boehringer Ingelheim","Female","18 Years and older   (Adult, Senior)","Phase 2","124","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Participant, Care Provider, Investigator|Primary Purpose: Treatment","UCL/10/0470|2011-005814-12","November 25, 2011","August 2014","October 2017","May 3, 2017","December 2016","No Study Results Posted","METRO-BIBF","October 2017","Overall survival|Quality of life|Adverse events for all patients|Progression free survival","https://ClinicalTrials.gov/show/NCT01610869"
181,"NCT01595321","Pancreatic Tumor Cell Vaccine (GVAX), Low Dose Cyclophosphamide, Fractionated Stereotactic Body Radiation Therapy (SBRT), and FOLFIRINOX Chemotherapy in Patients With Resected Adenocarcinoma of the Pancreas","Active, not recruiting","No Results Available","Pancreatic Cancer","Drug: Cyclophosphamide|Biological: PANC 10.05 pcDNA-1/GM-Neo and PANC 6.03 pcDNA-1/GM-Neo vaccine|Radiation: Stereotactic Body Radiation (SBRT)|Drug: FOLFIRINOX","Sidney Kimmel Comprehensive Cancer Center","All","18 Years to 76 Years   (Adult, Senior)","","19","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","J1179|NA_00050233","April 27, 2012","August 2012","August 2018","August 22, 2016","August 2016","No Study Results Posted","null","July 2017","Number of participants with adverse events as a measure of toxicity|Survival|Time to disease progression using immune correlates","https://ClinicalTrials.gov/show/NCT01595321"
182,"NCT03140553","TCH (Docetaxel/Carboplatin/Trastuzumab) Versus EC -TH(Epirubicin/Cyclophosphamide Followed by Docetaxe/Trastuzumab) as Neoadjuvant Treatment for HER2-Positive Breast Cancer","Recruiting","No Results Available","HER2-Positive Breast Cancer","Drug: TCH (docetaxel/carboplatin/trastuzumab) versus EC-TH(epirubicin/cyclophosphamide followed by docetaxe plus trastuzumab)","Guangdong General Hospital","Female","18 Years and older   (Adult, Senior)","Phase 2","70","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","20170308","May 2, 2017","September 1, 2016","September 1, 2019","May 3, 2017","May 2017","No Study Results Posted","null","September 1, 2018","pCR","https://ClinicalTrials.gov/show/NCT03140553"
183,"NCT02049580","Reduced Intensity Conditioning (RIC) Regimen and Post-transplant Cyclophosphamide in Haploidentical Bone Marrow Transplantation in in Patients With Poor Prognosis Lymphomas","Unknown status","No Results Available","Lymphoma","Drug: Thiotepa|Drug: Fludarabine|Drug: Cyclophosphamide","Istituto Clinico Humanitas","All","18 Years to 70 Years   (Adult, Senior)","Phase 2","47","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","ONC-2011-005","January 28, 2014","July 2013","November 2016","January 29, 2014","January 2014","No Study Results Posted","null","August 2016","Procedure activity|Neutrophils recovery|Platelets recovery|Incidence of graft failure|Cumulative incidence of acute and chronic GVHD|Incidence of infections|Cumulative incidence of relapse/progression|Treatment related mortality (TRM)|Immunological reconstitution","https://ClinicalTrials.gov/show/NCT02049580"
184,"NCT02597062","High-Dose Weekly Carfilzomib Plus Cyclophosphamide and Dexamethasone in the Treatment of Relapsed Multiple Myeloma","Recruiting","No Results Available","Multiple Myeloma","Drug: Carfilzomib|Drug: Cyclophosphamide|Drug: Dexamethasone","Canadian Cancer Trials Group|Amgen|Myeloma Canada Research Network","All","18 Years and older   (Adult, Senior)","Phase 2","76","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","MYX1|MCRN003","November 3, 2015","March 29, 2016","December 2022","May 8, 2017","March 2017","No Study Results Posted","null","February 2019","Overall response rate after 4 cycles|Number and severity of adverse events|Response rates assessed by current International Myeloma Working Group (IMWG) criteria.|Progression-free survival assessed by biochemistry, radiology and immunology tests|Overall survival","https://ClinicalTrials.gov/show/NCT02597062"
185,"NCT01660750","A Safety Study of Carfilzomib, Cyclophosphamide & Dexamethasone Prior to ASCT in Patients With Newly Diagnosed Myeloma","Completed","No Results Available","Multiple Myeloma","Drug: Carfilzomib|Drug: Cyclophosphamide|Drug: Dexamethasone","Academic Myeloma Consortium|Amgen","All","18 Years and older   (Adult, Senior)","Phase 1","29","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","AMyC 11-MM-01|CAR-IST-520","August 7, 2012","January 2013","December 2015","July 12, 2016","July 2016","No Study Results Posted","11-MM-01","August 2015","Adverse Events as a measure of safety and tolerability|Overall Response after induction therapy|Overall Response post ASCT|Time to Progression|Progression Free Survival|Time to Next Therapy","https://ClinicalTrials.gov/show/NCT01660750"
186,"NCT00740805","Veliparib, Cyclophosphamide, and Doxorubicin Hydrochloride in Treating Patients With Metastatic or Unresectable Solid Tumors or Non-Hodgkin Lymphoma","Active, not recruiting","No Results Available","Solid Neoplasm|Stage III Non-Hodgkin Lymphoma|Stage IV Non-Hodgkin Lymphoma","Drug: Cyclophosphamide|Drug: Doxorubicin Hydrochloride|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Drug: Veliparib","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 1","90","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","NCI-2009-00262|050803|CDR0000600234|7998|P30CA072720|U01CA132194|U01CA099118|UM1CA186716","August 22, 2008","August 18, 2008","null","May 23, 2017","May 2017","No Study Results Posted","null","June 1, 2017","MTD, defined as the dose level that no more than 2/6 or 1/3 patients experience DLT and at least 2/3 or 3/6 patients treated with next higher dose level will have had DLT|Change in gammaH2AX levels (quantification of the time point of maximal DNA damage)|Change in pharmacokinetic parameters","https://ClinicalTrials.gov/show/NCT00740805"
187,"NCT01903330","ERC1671/GM-CSF/Cyclophosphamide for the Treatment of Glioblastoma Multiforme","Recruiting","No Results Available","Glioblastoma|Gliosarcoma","Drug: ERC1671|Drug: GM-CSF|Drug: Cyclophosphamide|Drug: Oral Control (Sucrose pill)|Drug: Injectable control (Sodium Chloride Injection United States Pharmacopeia (USP) (0.9%))|Drug: Bevacizumab","Daniela A. Bota|University of California, Irvine|Epitopoietic Research Corporation","All","18 Years and older   (Adult, Senior)","Phase 2","84","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Participant, Investigator)|Primary Purpose: Treatment","UCI 13-14 ERC1671-H02|UCI 13-14|2013-9863","June 26, 2013","March 2014","March 2019","December 28, 2016","December 2016","No Study Results Posted","null","March 2019","Safety|Efficacy|Immune Response","https://ClinicalTrials.gov/show/NCT01903330"
188,"NCT02390843","Simvastatin With Topotecan and Cyclophosphamide in Relapsed and/or Refractory Pediatric Solid and CNS Tumors","Recruiting","No Results Available","Retinoblastoma|Clear Cell Sarcoma|Renal Cell Carcinoma|Rhabdoid Tumor|Wilms Tumor|Hepatoblastoma|Neuroblastoma|Germ Cell Tumors|Ewings Sarcoma|Non-rhabdomyosarcoma Soft Tissue Sarcoma|Osteosarcoma|Rhabdomyosarcoma","Drug: Simvastatin|Drug: Cyclophosphamide|Drug: Topotecan|Drug: Myeloid growth factor","Emory University|Children's Healthcare of Atlanta","All","1 Year to 29 Years   (Child, Adult)","Phase 1","36","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","IRB00078790","February 24, 2015","February 2015","February 2021","October 13, 2016","October 2016","No Study Results Posted","AflacST1402","February 2019","Maximum Tolerated Dose (MTD) of Simvastatin|Number of Dose-Limiting Toxicities (DLTs)|Percentage of Participants With Overall Tumor Response (Response Rate)|Change in Total Cholesterol Level|Change in serum interleukin-6 (IL-6) level|Change in soluble interleukin 6 receptor (sIL-6R)|Change in signal transducer and activator of transcription 3 (STAT-3) expression|Change in phospho-STAT3 expression","https://ClinicalTrials.gov/show/NCT02390843"
189,"NCT01193283","Cyclophosphamide Plus Cyclosporine in Treatment-Naive Severe Aplastic Anemia","Completed","Has Results","Aplastic Anemia|Neutropenia|Pancytopenia|Severe Aplastic Anemia","Drug: Cyclophosphamide|Drug: Cyclosporine","National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)","All","2 Years and older   (Child, Adult, Senior)","Phase 1|Phase 2","22","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","100176|10-H-0176","August 31, 2010","August 2010","September 2014","April 11, 2017","April 2017","October 13, 2015","null","September 2014","Blood Counts and Adverse Event Profile After 6 Months of Treatment.","https://ClinicalTrials.gov/show/NCT01193283"
190,"NCT00482911","Lenalidomide, Sunitinib, and Cyclophosphamide in Treating Patients With Stage IV Eye Melanoma","Terminated","Has Results","Intraocular Melanoma|Malignant Conjunctival Neoplasm","Drug: cyclophosphamide|Drug: lenalidomide|Drug: sunitinib malate","National Institutes of Health Clinical Center (CC)|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","12","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment","070134|NCI-07-C-0134","June 4, 2007","April 2007","April 2009","February 6, 2017","February 2017","October 11, 2012","null","April 2009","Response Rate (Complete and Partial Response)|Toxicity|Overall Survival|Progression Free Survival|Changes in Gene Expression, Methylation and Protein Modification","https://ClinicalTrials.gov/show/NCT00482911"
191,"NCT02654119","Cyclophosphamide, Paclitaxel, and Trastuzumab in Treating Patients With Stage I-II HER2/Neu Positive Breast Cancer After Surgery","Recruiting","No Results Available","HER2 Positive Breast Carcinoma|Stage IA Breast Cancer|Stage IB Breast Cancer|Stage IIA Breast Cancer|Stage IIB Breast Cancer","Drug: Cyclophosphamide|Other: Laboratory Biomarker Analysis|Drug: Paclitaxel|Biological: Trastuzumab","University of Nebraska|National Cancer Institute (NCI)","Female","19 Years and older   (Adult, Senior)","Phase 2","75","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","318-15|NCI-2015-01879|P30CA036727","January 11, 2016","December 2015","null","June 15, 2016","June 2016","No Study Results Posted","null","November 2018","Incidence of grade 3/4 cardiotoxicity, graded according to the NCI CTCAE v4.03|Incidence of grade 3/4 nausea/vomiting, graded according to the NCI CTCAE v4.03|Incidence of inability to complete treatment, defined as a patient that requires a lower dose of therapy (defined as dose lowered by 50%), or a postponement of scheduled treatment of longer than 28 days, or discontinuation of treatment for any reason|Incidence of neutropenia, graded according to the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version (v)4.03|Incidence of paclitaxel-related neuropathy, graded according to the NCI CTCAE v4.03|Recurrence free survival (RFS)","https://ClinicalTrials.gov/show/NCT02654119"
192,"NCT01241682","Dendritic Cell-based Immunotherapy Combined With Low-dose Cyclophosphamide in Patients With Malignant Mesothelioma","Completed","No Results Available","Malignant (Pleural) Mesothelioma","Biological: DC + CTX","Erasmus Medical Center","All","Child, Adult, Senior","Phase 1","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NL24050.000.08","June 1, 2010","October 2009","October 2012","February 26, 2014","February 2014","No Study Results Posted","PMR-MM-002","October 2011","number of cytotoxic T cells and regulatory T cells in the blood of patients|safety and toxicity","https://ClinicalTrials.gov/show/NCT01241682"
193,"NCT00809341","R-ICE and High-Dose Cyclophosphamide With PET/CT for Diffuse Large B-Cell Non-Hodgkin's Lymphoma","Terminated","No Results Available","Non-Hodgkin's Lymphoma","Drug: R-CHOP, R-CHOEP, R-EPOCH|Drug: R-ICE, Cyclophosphamide","Sidney Kimmel Comprehensive Cancer Center|Genentech, Inc.","All","18 Years and older   (Adult, Senior)","Phase 2","26","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","J0802|NA_00013656","December 16, 2008","January 2009","April 2014","October 30, 2015","October 2015","No Study Results Posted","null","April 2014","Estimate survival in patient receiving early treatment intensification based on a positive mid-treatment PET scan compared to the historical event-free survival of mid-treatment PET positive patients not given early treatment intensification.|Estimate overall survival in patients whose treatment is determined on the basis of a mid-treatment [18F] FDG-PET scan result.","https://ClinicalTrials.gov/show/NCT00809341"
194,"NCT00352378","Primary Chemotherapy With Adriamycin/Cyclophosphamide(AC) vs Taxotere/Xeloda(TX) for Stage II and III Breast Cancer","Completed","No Results Available","Breast Cancer","Drug: Anthracycline, Cyclophosphamide, Docetaxel, Capecitabine","National Cancer Center, Korea","Female","18 Years and older   (Adult, Senior)","Phase 3","209","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Open Label|Primary Purpose: Treatment","NCCCTS-02-034","July 13, 2006","June 2002","January 2006","June 23, 2011","September 2007","No Study Results Posted","null","October 2005","pathologic complete remission","https://ClinicalTrials.gov/show/NCT00352378"
195,"NCT00478218","Lenalidomide, Cyclophosphamide, and Dexamethasone in Treating Patients With Newly Diagnosed Multiple Myeloma","Completed","Has Results","Multiple Myeloma and Plasma Cell Neoplasm","Drug: cyclophosphamide|Drug: dexamethasone|Drug: lenalidomide","Mayo Clinic|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","53","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","CDR0000546657|P30CA015083|MC058E|06-002786|RV-MM-PI-0116","May 23, 2007","July 2006","April 2011","August 29, 2011","August 2011","June 30, 2011","null","September 2008","Number of Participants Who Achieved a Confirmed Response (CR), Very Good Partial Response (VGPR) or Partial Response (PR) During Treatment|Overall Survival (OS)|Progression-free Survival (PFS)|Duration of Response (DOR)","https://ClinicalTrials.gov/show/NCT00478218"
196,"NCT00794820","Fludarabine, Cyclophosphamide, and Rituximab - High Dose Frontline","Completed","Has Results","Chronic Lymphocytic Leukemia","Drug: Fludarabine Phosphate|Drug: Cyclophosphamide|Drug: Rituximab","M.D. Anderson Cancer Center|Genentech, Inc.","All","16 Years and older   (Child, Adult, Senior)","Phase 2","66","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2003-0591|NCI-2010-01220","November 18, 2008","December 2003","December 2014","July 13, 2016","July 2016","July 13, 2016","null","December 2014","Complete Remission (CR) Rate of FCR3 in Treatment-naïve Participants With Chronic Lymphocytic Leukemia (CLL) at 6 Months|Remission Duration/Time to Progression (TTP)|Overall Survival (OS) Rate","https://ClinicalTrials.gov/show/NCT00794820"
197,"NCT01074060","Plerixafor and Filgrastim Following Cyclophosphamide for Stem Cell Mobilization in Patients With Multiple Myeloma","Completed","No Results Available","Refractory Multiple Myeloma|Stage I Multiple Myeloma|Stage II Multiple Myeloma|Stage III Multiple Myeloma","Drug: plerixafor|Biological: filgrastim|Drug: cyclophosphamide|Procedure: autologous hematopoietic stem cell transplantation|Other: laboratory biomarker analysis","City of Hope Medical Center","All","18 Years to 70 Years   (Adult, Senior)","Phase 1","18","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","08186|NCI-2010-00160","February 19, 2010","April 2010","February 2013","February 13, 2013","February 2013","No Study Results Posted","null","February 2013","To assess the MTD ( maximum tolerated dose) of IV plerixafor when given post cyclophosphamide and GCSF for stem cell priming.Dose limiting toxicity will be defined as any grade 3 or 4 nonhematologic toxicity.|Tolerability and safety of PLERIXAFOR|Frequency of collecting 5 x 10^6 or more CD34+ cells/kg in 2 or less apheresis days|Percentage of plasma cells|Completion of 100 days post-transplant|Overall and disease-free survival|Time to engraftment","https://ClinicalTrials.gov/show/NCT01074060"
198,"NCT00824265","Ofatumumab Added to Fludarabine-Cyclophosphamide vs Fludarabine-Cyclophosphamide Combination in Relapsed Subjects With Chronic Lymphocytic Leukemia","Active, not recruiting","Has Results","Leukaemia, Lymphocytic, Chronic","Drug: OFC Infusion|Drug: FC infusion","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Senior)","Phase 3","365","Industry","Interventional","Allocation: Randomized|Masking: No masking|Primary Purpose: Treatment","110913","January 15, 2009","March 2009","October 2017","January 31, 2017","January 2017","August 10, 2015","null","December 2014","Progression-free Survival (PFS), as Assessed by the Independent Review Committee (IRC)|Overall Survival (OS)|Time to Response, as Assessed by the IRC|Duration of Response (DOR), as Assessed by the IRC|Time to Progression, as Assessed by the IRC|Time to Next Therapy|Number of Participants With Improvement in Eastern Cooperative Oncology Group (ECOG) Performance Status|Number of Participants With no B-Symptoms or at Least One B-symptoms Over the Time|Percentage of Participants With the Best Overall Response (OR), as Assessed by the IRC|Percentage of Participants With the Best OR, as Assessed by the Investigator|Number of Participants Who Were Negative for Minimal Residual Disease (MRD) Assessed by IRC|Number of Participants Who Were Negative for MRD Assessed by Investigator|Number of Participants With Any Adverse Event (AE) or Serious Adverse Event (SAE)|Number of Participants With a Human Anti-human Antibody (HAHA) Positive Result at Indicated Time Points|Number of Participants With Autoimmune Hemolytic Anaemia (AIHA)|Number of Participants With Drug Related AEs and SAEs of Maximum Severity of Grade 3 or Higher|Number of Participants With at Least One Grade 3/Grade 4 Myelosuppression (Anemia, Neutropenia, and Thrombocytopenia)|Number of Participants Who Received no Transfusion or at Least One Transfusion During the Study|Mean Level of Immunoglobulin (Ig) Antibodies IgA, IgG, and IgM|Change From Baseline in Cluster of Differentiation (CD) Cell Counts, CD5+ and CD19+|Change From Baseline in Cell Counts, CD5- CD19+|Prognostic and Biological Markers Correlating With Clinical Response|Changes in Patient Reported Outcome (PRO) Measures and Scores for European Organization for Research and Treatment of Cancer Quality of Life Questionnaire, Chronic Lymphocytic Leukaemia 16 Item Module (EORTC QLQ-CLL 16)|Change From Baseline in Patient Reported Outcome (PRO) as Assessed by EuroQoL Five-Dimension (EQ-5D) Score at Indicated Visit|Change From Baseline in the European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire Core 30 (EORTC QLQ-C30) Score|Mean of Health Change Questionnaire (HCQ)|Mean Area Under the Time-concentration Curve (AUC) Curve Over the Dosing Interval (AUC[0-tau]) of Ofatumumab|Maximum Concentration (Cmax) and Observed Drug Concentration Prior to the Next Dose (Ctrough) of Ofatumumab|Time of Occurrence of Cmax (Tmax) of Ofatumumab","https://ClinicalTrials.gov/show/NCT00824265"
199,"NCT01723839","Phase II Protocol for CLL With Fludarabine and Cyclophosphamide With Rituximab (FCR) Plus Lenalidomide","Active, not recruiting","No Results Available","Chronic Lymphocytic Leukemia (CLL)","Drug: Fludarabine, Cyclophosphamide, Rituximab, Lenalidomide","Hackensack University Medical Center|Celgene Corporation","All","18 Years and older   (Adult, Senior)","Phase 2","54","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","Pro00002262 RV-CLL-PI-0530","November 6, 2012","September 2011","December 2015","August 21, 2015","August 2015","No Study Results Posted","FCR","December 2015","Complete Response|Overall Response Rate","https://ClinicalTrials.gov/show/NCT01723839"
200,"NCT02853318","Pembrolizumab, Bevacizumab, and Cyclophosphamide in Treating Patients With Recurrent Ovarian, Fallopian Tube, or Primary Peritoneal Cancer","Recruiting","No Results Available","Fallopian Tube Clear Cell Adenocarcinoma|Fallopian Tube Endometrioid Adenocarcinoma|Fallopian Tube Mucinous Adenocarcinoma|Fallopian Tube Serous Adenocarcinoma|Ovarian Clear Cell Adenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Mucinous Adenocarcinoma|Ovarian Serous Adenocarcinoma|Primary Peritoneal Serous Adenocarcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma|Undifferentiated Fallopian Tube Carcinoma|Undifferentiated Ovarian Carcinoma","Biological: Bevacizumab|Drug: Cyclophosphamide|Other: Laboratory Biomarker Analysis|Biological: Pembrolizumab","Roswell Park Cancer Institute|National Cancer Institute (NCI)","Female","18 Years and older   (Adult, Senior)","Phase 2","40","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment","I 270715|NCI-2016-00534|P30CA016056","July 29, 2016","September 1, 2016","March 3, 2018","March 9, 2017","March 2017","No Study Results Posted","null","August 3, 2017","Incidence of adverse events assessed by Common Terminology Criteria for Adverse Events|Progression-free survival (PFS)|Duration of overall survival|An anti-tumor immune response in circulation and tumor tissue|Objective tumor response assessed by modified RECIST version 1.1 criteria","https://ClinicalTrials.gov/show/NCT02853318"
201,"NCT00305760","Vaccine Therapy, Cyclophosphamide, and Cetuximab in Treating Patients With Metastatic or Locally Advanced Pancreatic Cancer","Completed","Has Results","Pancreatic Cancer","Drug: Cetuximab|Biological: Pancreatic tumor vaccine|Drug: Cyclophosphamide","Sidney Kimmel Comprehensive Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Senior)","Phase 2","60","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","J0501|P30CA006973|BMS-CA225247","March 21, 2006","December 2005","null","June 18, 2015","June 2015","June 18, 2015","null","February 2009","Safety of Combining the Pancreatic Tumor Vaccine in Sequence With Cyclophosphamide and Erbitux. Safety is Defined as the Number of Treatment-related Grade 3 or 4 Adverse Events Observed in Greater Than 5% of the Patient Population","https://ClinicalTrials.gov/show/NCT00305760"
202,"NCT00785122","IMA910 Plus GM-CSF With Low-dose Cyclophosphamide Pre-treatment in Advanced Colorectal Carcinoma Patients Following a Successful 12 Week First-line Treatment With Oxaliplatin-based Chemotherapy (IMA910-101)","Completed","No Results Available","Colorectal Carcinoma","Drug: Endoxana, Leukine, IMA910|Drug: Endoxana, Leukine, IMA910, Aldara","immatics Biotechnologies GmbH","All","18 Years and older   (Adult, Senior)","Phase 1|Phase 2","92","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","EudraCT Nr. 2007-005666-12","November 4, 2008","June 2008","May 2013","May 15, 2013","May 2013","No Study Results Posted","IMA910-101","January 2011","Disease control rate|Safety assessment|Tumour response rates and SD rate|DCR|Duration of response|Progression free survival|Cellular immunomonitoring|Biomarkers|Analysis of tumor tissue|Overall Safety|Effect of imiquimod (2nd Cohort) on immune response|Overall survival|Non-Cellular immunomonitoring","https://ClinicalTrials.gov/show/NCT00785122"
203,"NCT00190229","Efficacy of Steroid Versus Steroid Plus Cyclophosphamide for Severe Henoch-Schoenlein Purpura","Completed","No Results Available","Henoch-Schoenlein Purpura","Drug: Cyclophosphamide","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Senior)","","200","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","P011014","September 13, 2005","September 2002","January 2008","May 3, 2011","March 2007","No Study Results Posted","null","January 2008","Birmingham Vasculitis Activity Score (BVAS)|Chronic lesions (Vasculitis Damage Index)|Renal function at 12 months|Kidney survival at 12 months|Patient survival at 12 months|Blood pressure|Infections|Adverse events related to steroid or cyclophosphamide","https://ClinicalTrials.gov/show/NCT00190229"
204,"NCT01862926","Rituximab Versus Cyclophosphamide in Connective Tissue Disease-ILD","Recruiting","No Results Available","Interstitial Lung Disease|Scleroderma|Idiopathic Inflammatory Myositis|Mixed Connective Tissue Disease","Drug: Rituximab|Drug: Cyclophosphamide","Royal Brompton & Harefield NHS Foundation Trust|Imperial College London|University of East Anglia|University College London Hospitals","All","18 Years to 80 Years   (Adult, Senior)","Phase 2|Phase 3","116","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double Blind (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","RBHIPF004|2012-003633-42","May 22, 2013","November 2014","null","May 6, 2015","May 2015","No Study Results Posted","RECITAL","November 2017","Absolute change in FVC|• Change from baseline in diffusing capacity for carbon monoxide (DLco)|• Change from baseline in health related quality of life scores|• Change from baseline in global disease activity score|• Progression free survival|• Adverse and serious adverse events (as defined in GCP)","https://ClinicalTrials.gov/show/NCT01862926"
205,"NCT00066469","Cyclophosphamide, Rituximab, and Either Prednisone or Methylprednisolone in Treating Patients With Lymphoproliferative Disease After Solid Organ Transplantation","Active, not recruiting","Has Results","Lymphoproliferative Disorder","Biological: rituximab|Drug: cyclophosphamide|Drug: methylprednisolone|Drug: prednisone","Children's Oncology Group|National Cancer Institute (NCI)","All","up to 30 Years   (Child, Adult)","Phase 2","55","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","ANHL0221|CDR0000316241|COG-ANHL0221|NCI-2012-02544|U10CA098543","August 6, 2003","April 2004","null","September 14, 2016","September 2016","September 17, 2013","null","October 2009","Event-free Survival","https://ClinicalTrials.gov/show/NCT00066469"
206,"NCT00049114","Tipifarnib, Doxorubicin, and Cyclophosphamide in Treating Women With Locally Advanced Breast Cancer","Completed","No Results Available","Inflammatory Breast Cancer|Stage II Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer","Drug: doxorubicin hydrochloride|Drug: cyclophosphamide|Drug: tipifarnib|Biological: filgrastim|Procedure: therapeutic conventional surgery|Other: laboratory biomarker analysis","National Cancer Institute (NCI)","Female","18 Years and older   (Adult, Senior)","Phase 2","62","NIH","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","NCI-2012-02500|02-05-125|AECM-0205125|NCI-5598|CDR0000257811|N01CM62204","November 12, 2002","February 2003","null","June 5, 2013","June 2013","No Study Results Posted","null","January 2007","Pathological complete response in the breast|Proportion of patients who have a clinical complete response|Grade 3 or 4 toxicities assessed using NCI CTCAE version 3.0|Median disease-free survival|Percentage of patients free of disease","https://ClinicalTrials.gov/show/NCT00049114"
207,"NCT01696877","A Neoadjuvant Study of Androgen Ablation Combined With Cyclophosphamide and GVAX Vaccine for Localized Prostate Cancer","Active, not recruiting","No Results Available","Prostate Cancer Adenocarcinoma in Situ","Drug: degarelix acetate|Drug: Cyclophosphamide|Drug: GVAX","Sidney Kimmel Comprehensive Cancer Center","Male","21 Years and older   (Adult, Senior)","Phase 1|Phase 2","29","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","J1265|NA_00073453","September 14, 2012","September 2012","April 2018","December 28, 2016","December 2016","No Study Results Posted","null","April 2018","Intraprostatic CD8+ T cell infiltration|Number of participants with adverse events|Intraprostatic CD4+ T cell and Treg infiltration|Quantification of tissue androgen concentrations|Quantification of markers of apoptosis|Pathological complete responses|Serum antibodies to prostate-associated antigens|PSA response rate and time-to-PSA-recurrence","https://ClinicalTrials.gov/show/NCT01696877"
